# All Users
# Start date: 20201123
# End date: 20210523

Browser,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
Chrome,12743,12639,14270,0.7767254517744394,1.119830495173821,86.2606921447069,126827,0,0
Firefox,472,469,539,0.7591549295774648,1.1419491525423728,92.24364406779661,5745,0,0
Safari,327,327,259,0.6709844559585493,0.7920489296636085,36.07645259938838,1955,0,0
Edge,316,315,334,0.7822014051522248,1.0569620253164558,77.95569620253164,4027,0,0
Opera,85,85,77,0.6581196581196581,0.9058823529411765,57.44705882352941,684,0,0
Android Webview,43,43,41,0.7454545454545455,0.9534883720930233,36.44186046511628,284,0,0
Samsung Internet,38,38,32,0.6666666666666666,0.8421052631578947,55.63157894736842,302,0,0
Android Browser,25,25,12,0.48,0.48,0,87,0,0
YaBrowser,16,16,0,0,0,0,48,0,0
Coc Coc,3,3,4,0.5714285714285714,1.3333333333333333,28,27,0,0
UC Browser,3,3,3,1,1,20.666666666666668,25,0,0
Internet Explorer,1,1,0,0,0,0,3,0,0
