#  
# Start date: 20200523
# End date: 20210523
Interests,Users
Technology/Technophiles,5196
Shoppers/Value Shoppers,4676
Media & Entertainment/Music Lovers,4317
Media & Entertainment/Movie Lovers,4048
Media & Entertainment/Gamers,3071
Lifestyles & Hobbies/Green Living Enthusiasts,3006
Food & Dining/Fast Food Cravers,2975
Media & Entertainment/Light TV Viewers,2788
Lifestyles & Hobbies/Outdoor Enthusiasts,2759
Home & Garden/Do-It-Yourselfers,2754
Lifestyles & Hobbies/Art & Theater Aficionados,2674
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,2387
Beauty & Wellness/Frequently Visits Salons,2362
Lifestyles & Hobbies/Nightlife Enthusiasts,2291
Travel/Business Travelers,2249
Travel/Travel Buffs,2043
Lifestyles & Hobbies/Frequently Attends Live Events,1807
Shoppers/Shoppers by Store Type/Department Store Shoppers,1803
Vehicles & Transportation/Auto Enthusiasts,1802
Shoppers/Shopaholics,1765
Lifestyles & Hobbies/Shutterbugs,1698
Sports & Fitness/Sports Fans,1684
Lifestyles & Hobbies/Fashionistas,1676
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,1621
Media & Entertainment/Book Lovers,1595
Shoppers/Luxury Shoppers,1514
Technology/Mobile Enthusiasts,1500
Shoppers/Bargain Hunters,1445
Sports & Fitness/Health & Fitness Buffs,1313
Beauty & Wellness/Beauty Mavens,1290
Media & Entertainment/Movie Lovers/South Asian Film Fans,1288
Lifestyles & Hobbies/Thrill Seekers,1255
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,1239
Lifestyles & Hobbies/Family-Focused,1207
Food & Dining/Foodies,1038
Media & Entertainment/Music Lovers/World Music Fans,1021
Technology/Social Media Enthusiasts,1018
Lifestyles & Hobbies/Business Professionals,1004
Lifestyles & Hobbies/Pet Lovers,921
Food & Dining/Coffee Shop Regulars,904
Media & Entertainment/TV Lovers,851
Banking & Finance/Avid Investors,844
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,781
Media & Entertainment/Comics & Animation Fans,754
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,708
Home & Garden/Home Decor Enthusiasts,695
News & Politics/Avid News Readers,694
Media & Entertainment/Gamers/Hardcore Gamers,608
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,512
Media & Entertainment/Music Lovers/Pop Music Fans,504
Sports & Fitness/Sports Fans/Cricket Enthusiasts,481
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,454
Media & Entertainment/Gamers/Casual & Social Gamers,410
Media & Entertainment/Gamers/Shooter Game Fans,362
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,342
Food & Dining/Cooking Enthusiasts,322
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,290
News & Politics/Avid News Readers/Avid Political News Readers,266
Media & Entertainment/Gamers/Action Game Fans,225
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,219
News & Politics/Avid News Readers/Entertainment News Enthusiasts,169
Sports & Fitness/Sports Fans/Soccer Fans,162
News & Politics/Avid News Readers/Avid Business News Readers,157
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,129
Media & Entertainment/Movie Lovers/Comedy Movie Fans,124
Media & Entertainment/Gamers/Roleplaying Game Fans,122
Media & Entertainment/Gamers/Driving & Racing Game Fans,117
Media & Entertainment/Music Lovers/Rock Music Fans,116
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,114
Media & Entertainment/TV Lovers/TV Drama Fans,97
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",90
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,89
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,87
Media & Entertainment/Movie Lovers/Family Movie Fans,86
Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,75
Media & Entertainment/Movie Lovers/Horror Movie Fans,65
Vehicles & Transportation/Auto Enthusiasts/Truck & SUV Enthusiasts,60
Media & Entertainment/TV Lovers/TV Comedy Fans,57
Media & Entertainment/Music Lovers/Country Music Fans,50
Travel/Travel Buffs/Beachbound Travelers,44
Sports & Fitness/Sports Fans/Basketball Fans,37
Sports & Fitness/Sports Fans/Fight & Wrestling Fans,35
Media & Entertainment/Music Lovers/Spanish-Language Music Fans,31
Media & Entertainment/Gamers/Sports Game Fans,28
News & Politics/Avid News Readers/Avid Local News Readers,27
Travel/Travel Buffs/Luxury Travelers,27
Sports & Fitness/Sports Fans/American Football Fans,26
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,25
Sports & Fitness/Sports Fans/Running Enthusiasts,18
Media & Entertainment/Music Lovers/Metalheads,17
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,16
Travel/Travel Buffs/Family Vacationers,15
Media & Entertainment/TV Lovers/Sci-Fi & Fantasy TV Fans,14
Sports & Fitness/Sports Fans/Motor Sports Enthusiasts,14
Media & Entertainment/TV Lovers/Family Television Fans,13
Sports & Fitness/Sports Fans/Cycling Enthusiasts,12
Travel/Travel Buffs/Snowbound Travelers,11
