# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
# 
# Start date: 20201123
# End date: 20210523
Day,google / organic,(direct) / (none),hackerranksolution.in / referral,(not set) / (not set),bing / organic
0000,3,0,3,0,0
0001,7,0,2,0,0
0002,6,17,6,0,0
0003,2,0,2,0,0
0004,11,1,4,0,0
0005,3,2,2,0,0
0006,4,1,1,1,0
0007,7,3,1,0,0
0008,7,17,5,0,0
0009,4,2,5,0,0
0010,1,2,1,0,0
0011,1,0,3,0,0
0012,4,0,1,0,0
0013,4,1,2,0,0
0014,4,1,1,0,0
0015,3,1,1,0,0
0016,6,3,2,0,0
0017,11,2,1,0,0
0018,3,1,1,0,0
0019,6,0,1,0,0
0020,9,0,1,0,0
0021,12,5,1,0,0
0022,5,1,1,0,0
0023,2,0,0,0,0
0024,7,0,1,0,0
0025,9,2,5,0,0
0026,12,2,1,0,0
0027,5,1,2,0,0
0028,5,1,2,0,0
0029,5,1,1,0,0
0030,4,0,1,0,0
0031,7,0,1,0,0
0032,6,3,2,0,0
0033,7,0,0,0,0
0034,4,1,1,0,0
0035,3,2,0,0,0
0036,4,0,1,0,0
0037,8,0,1,0,1
0038,11,1,2,0,0
0039,11,1,2,0,1
0040,6,2,2,0,1
0041,6,3,1,0,4
0042,15,1,1,1,0
0043,9,1,0,0,1
0044,13,2,4,0,0
0045,16,1,0,0,0
0046,17,0,2,0,2
0047,11,1,2,0,0
0048,11,0,1,0,0
0049,6,2,2,0,0
0050,8,1,2,0,0
0051,6,0,1,1,1
0052,11,1,2,0,0
0053,11,0,1,0,0
0054,15,0,1,0,0
0055,15,1,1,0,1
0056,22,0,1,0,0
0057,16,1,0,0,0
0058,18,0,2,0,1
0059,8,9,1,0,0
0060,0,0,0,0,0
0061,0,0,0,0,0
0062,0,0,0,0,0
0063,0,0,0,0,0
0064,0,0,0,0,0
0065,0,0,0,0,0
0066,0,0,0,0,0
0067,0,0,0,0,0
0068,0,0,0,0,0
0069,0,0,0,0,0
0070,0,0,0,0,0
0071,0,0,0,0,0
0072,0,0,0,0,0
0073,0,0,0,0,0
0074,0,0,0,0,0
0075,0,0,0,0,0
0076,0,11,0,0,0
0077,10,13,4,0,0
0078,21,2,1,1,2
0079,29,2,4,0,0
0080,19,4,2,1,0
0081,27,1,3,0,0
0082,27,7,1,0,0
0083,28,5,4,0,0
0084,29,3,2,1,0
0085,38,3,0,1,0
0086,24,0,0,0,1
0087,25,10,2,0,0
0088,31,1,3,0,2
0089,42,5,5,0,3
0090,30,9,5,0,0
0091,45,10,4,0,0
0092,40,10,6,1,1
0093,44,6,5,1,0
0094,37,1,2,0,0
0095,45,57,2,0,2
0096,25,4,2,0,1
0097,38,5,3,0,0
0098,44,7,4,0,0
0099,60,8,3,0,0
0100,47,15,4,0,0
0101,61,16,4,2,1
0102,53,109,3,0,0
0103,46,20,4,0,0
0104,32,8,2,0,0
0105,51,4,2,1,0
0106,63,19,1,1,4
0107,59,42,3,3,0
0108,74,20,1,2,1
0109,76,14,0,1,1
0110,99,24,0,1,1
0111,64,19,0,1,0
0112,67,7,1,1,0
0113,84,11,0,1,0
0114,58,9,1,0,0
0115,80,9,0,0,0
0116,43,1,0,0,0
0117,50,5,0,1,0
0118,49,4,1,0,0
0119,57,3,0,1,0
0120,82,5,0,2,0
0121,86,13,0,2,0
0122,96,8,1,0,1
0123,88,14,0,1,0
0124,79,15,0,1,1
0125,64,4,1,1,0
0126,46,3,1,0,0
0127,77,5,0,2,1
0128,85,9,0,1,0
0129,87,8,0,0,0
0130,91,7,0,0,0
0131,83,10,0,0,0
0132,77,5,0,1,1
0133,164,15,0,1,1
0134,134,21,1,0,0
0135,149,19,0,1,0
0136,169,14,0,1,0
0137,125,9,0,0,0
0138,105,11,0,0,1
0139,116,9,0,0,0
0140,114,16,0,0,0
0141,101,5,0,0,1
0142,103,8,1,0,0
0143,169,59,1,0,0
0144,152,17,0,3,0
0145,178,15,0,1,0
0146,150,6,0,2,0
0147,155,27,0,0,1
0148,149,23,0,0,0
0149,227,20,0,1,1
0150,256,123,0,0,1
0151,258,56,0,0,1
0152,181,51,0,0,1
0153,159,25,0,1,0
0154,244,14,0,4,0
0155,167,22,0,0,0
0156,185,31,0,2,0
0157,180,9,0,0,0
0158,187,16,0,1,0
0159,207,11,0,0,0
0160,178,11,0,0,2
0161,221,11,0,0,1
0162,241,17,0,1,0
0163,251,25,0,1,0
0164,244,24,0,2,1
0165,268,24,0,2,0
0166,252,16,0,1,0
0167,282,20,0,0,0
0168,284,97,1,2,0
0169,287,36,0,1,1
0170,353,47,0,0,0
0171,406,46,0,2,0
0172,319,25,0,4,0
0173,372,34,0,4,0
0174,277,49,0,2,0
0175,360,75,0,4,0
0176,353,28,0,3,0
0177,329,25,0,0,0
0178,331,37,0,2,0
0179,284,45,0,5,0
0180,308,31,0,0,1
0181,307,23,0,0,0

# All Users
# Start date: 20201123
# End date: 20210523

Session source/medium,Users
google / organic,12020
(direct) / (none),1791
(not set) / (not set),89
hackerranksolution.in / referral,50
mobile-internet-check.browserstack.com / referral,50
yandex.ru / referral,48
bing / organic,42
yellow-search.com / referral,18
in.search.yahoo.com / referral,15
yahoo / organic,12
trafficape.com / referral,10
search.luminosoocchio.com / referral,7
doubleadvertise.com / referral,5
search.osservareimmaginare.com / referral,5
duckduckgo / organic,3
int.search.tb.ask.com / referral,3
nortonsafe.search.ask.com / referral,3
l.facebook.com / referral,2
l.instagram.com / referral,2
127.0.0.1:8000 / referral,1
3.137.144.14 / referral,1
ad.today / referral,1
admanager.google.com / referral,1
airforshare.com / referral,1
cp.magenet.com / referral,1
developers.google.com / referral,1
en.wikipedia.org / referral,1
facebook.com / referral,1
image.google.kz / referral,1
internet-start.net / referral,1
linklifting.com / referral,1
m.facebook.com / referral,1
management.exoclick.com / referral,1
r-notracking.onesearch.com / referral,1
search.becovi.com / referral,1
search.google.com / referral,1
sitechecker.pro / referral,1
smallseotools.com / referral,1
stuffgate.com / referral,1
uk.search.yahoo.com / referral,1
yandex / organic,1
yandex.kz / referral,1
yandex.ua / referral,1
your.ad.today / referral,1

# All Users
# Start date: 20201123
# End date: 20210523

Session source/medium,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
google / organic,12020,16995,13414,56.69443954104148,1.115973377703827,6.188526037069726,0.7892909679317446,105174,0,0
(direct) / (none),1791,2487,1690,73.0723763570567,0.943606923506421,10.234418978689185,0.6795335745878569,25453,0,0
(not set) / (not set),89,0,0,0,0,0,0,649,0,0
hackerranksolution.in / referral,50,318,209,56.339622641509436,4.18,17.053459119496857,0.6572327044025157,5423,0,0
mobile-internet-check.browserstack.com / referral,50,50,34,20.68,0.68,3.68,0.68,184,0,0
yandex.ru / referral,48,49,9,18.285714285714285,0.1875,4.73469387755102,0.1836734693877551,232,0,0
bing / organic,42,56,48,87.05357142857143,1.1428571428571428,13.839285714285714,0.8571428571428571,775,0,0
yellow-search.com / referral,18,29,27,39.689655172413794,1.5,4.586206896551724,0.9310344827586207,133,0,0
in.search.yahoo.com / referral,15,15,13,37.333333333333336,0.8666666666666667,5.866666666666666,0.8666666666666667,88,0,0
yahoo / organic,12,16,13,44.25,1.0833333333333333,5.9375,0.8125,95,0,0
trafficape.com / referral,10,17,10,21,1,6.823529411764706,0.5882352941176471,116,0,0
search.luminosoocchio.com / referral,7,18,10,31.61111111111111,1.4285714285714286,3.6666666666666665,0.5555555555555556,66,0,0
doubleadvertise.com / referral,5,5,0,0,0,3,0,15,0,0
search.osservareimmaginare.com / referral,5,8,7,50.625,1.4,4.5,0.875,36,0,0
duckduckgo / organic,3,3,3,54.666666666666664,1,21.333333333333332,1,64,0,0
int.search.tb.ask.com / referral,3,4,3,20.25,1,3.75,0.75,15,0,0
nortonsafe.search.ask.com / referral,3,3,3,54.333333333333336,1,4.666666666666667,1,14,0,0
l.facebook.com / referral,2,5,3,16,1.5,3.2,0.6,16,0,0
l.instagram.com / referral,2,2,2,27.5,1,5.5,1,11,0,0
127.0.0.1:8000 / referral,1,2,2,11.5,2,8.5,1,17,0,0
3.137.144.14 / referral,1,2,2,17,2,5.5,1,11,0,0
ad.today / referral,1,1,0,0,0,3,0,3,0,0
admanager.google.com / referral,1,6,4,15.333333333333334,4,8.333333333333334,0.6666666666666666,50,0,0
airforshare.com / referral,1,1,1,162,1,53,1,53,0,0
cp.magenet.com / referral,1,1,1,15,1,11,1,11,0,0
developers.google.com / referral,1,3,3,52.333333333333336,3,16.666666666666668,1,50,0,0
