# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
# 
# Start date: 20201123
# End date: 20210523
Day,Chrome,Firefox,Edge,Safari,Opera
0000,5,1,0,0,0
0001,8,1,0,0,0
0002,26,1,0,1,0
0003,3,0,0,0,0
0004,13,3,0,0,0
0005,7,0,0,0,0
0006,7,0,0,0,0
0007,9,1,0,0,0
0008,23,1,0,3,0
0009,11,0,0,0,0
0010,3,1,0,0,0
0011,3,0,0,0,0
0012,5,0,0,0,0
0013,4,1,0,0,0
0014,5,0,0,0,0
0015,5,0,0,0,0
0016,8,1,0,0,1
0017,13,0,0,1,0
0018,5,0,0,0,0
0019,6,0,1,0,0
0020,10,0,0,0,0
0021,15,0,0,0,1
0022,7,0,0,0,0
0023,2,0,0,0,0
0024,8,0,0,0,0
0025,13,1,0,0,0
0026,15,0,0,0,0
0027,7,1,0,0,0
0028,7,1,0,0,0
0029,7,0,0,0,0
0030,5,0,0,0,0
0031,8,0,0,0,0
0032,10,0,0,1,0
0033,7,0,0,0,0
0034,6,0,0,0,0
0035,4,1,0,0,0
0036,5,0,0,0,0
0037,10,0,1,0,0
0038,13,1,0,0,0
0039,12,1,2,0,0
0040,10,1,0,0,0
0041,11,0,3,0,0
0042,15,1,1,0,0
0043,10,1,1,0,0
0044,15,2,0,1,0
0045,17,1,0,0,0
0046,16,0,4,1,1
0047,14,1,0,0,0
0048,12,0,0,0,0
0049,8,1,0,1,0
0050,10,1,0,0,0
0051,7,1,1,0,0
0052,14,0,0,0,0
0053,9,2,0,0,0
0054,17,0,0,0,0
0055,14,0,2,1,0
0056,21,2,1,1,0
0057,16,0,0,1,0
0058,17,1,2,1,0
0059,16,1,0,0,0
0060,0,0,0,0,0
0061,0,0,0,0,0
0062,0,0,0,0,0
0063,0,0,0,0,0
0064,0,0,0,0,0
0065,0,0,0,0,0
0066,0,0,0,0,0
0067,0,0,0,0,0
0068,0,0,0,0,0
0069,0,0,0,0,0
0070,0,0,0,0,0
0071,0,0,0,0,0
0072,0,0,0,0,0
0073,0,0,0,0,0
0074,0,0,0,0,0
0075,0,0,0,0,0
