# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20201123
# End date: 20210523
Day,New users
0000,2
0001,4
0002,21
0003,0
0004,11
0005,3
0006,4
0007,7
0008,25
0009,5
0010,2
0011,0
0012,3
0013,4
0014,4
0015,4
0016,8
0017,12
0018,4
0019,5
0020,9
0021,14
0022,5
0023,2
0024,7
0025,10
0026,11
0027,6
0028,6
0029,6
0030,4
0031,6
0032,8
0033,7
0034,3
0035,5
0036,4
0037,10
0038,13
0039,13
0040,9
0041,12
0042,13
0043,11
0044,14
0045,17
0046,20
0047,11
0048,11
0049,7
0050,7
0051,6
0052,11
0053,11
0054,15
0055,14
0056,22
0057,16
0058,19
0059,17
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,11
0077,21
0078,24
0079,29
0080,24
0081,26
0082,33
0083,30
0084,29
0085,39
0086,20
0087,33
0088,31
0089,48
0090,35
0091,51
0092,47
0093,42
0094,34
0095,100
0096,28
0097,42
0098,41
0099,60
0100,53
0101,68
0102,148
0103,51
0104,39
0105,50
0106,74
0107,91
0108,85
0109,77
0110,114
0111,63
0112,56
0113,81
0114,58
0115,79
0116,41
0117,47
0118,43
0119,52
0120,76
0121,86
0122,93
0123,75
0124,75
0125,55
0126,41
0127,64
0128,83
0129,79
0130,78
0131,85
0132,73
0133,151
0134,130
0135,143
0136,161
0137,109
0138,99
0139,112
0140,115
0141,98
0142,95
0143,197
0144,139
0145,173
0146,131
0147,141
0148,136
0149,210
0150,350
0151,266
0152,196
0153,162
0154,230
0155,159
0156,182
0157,153
0158,150
0159,177
0160,159
0161,175
0162,212
0163,233
0164,211
0165,241
0166,218
0167,251
0168,301
0169,245
0170,332
0171,377
0172,289
0173,321
0174,260
0175,380
0176,300
0177,278
0178,288
0179,254
0180,252
0181,271

# Start date: 20201123
# End date: 20210523
Day,Returning users
0000,5
0001,4
0002,9
0003,3
0004,5
0005,4
0006,5
0007,3
0008,6
0009,5
0010,2
0011,3
0012,2
0013,2
0014,2
0015,1
0016,3
0017,4
0018,1
0019,2
0020,0
0021,3
0022,3
0023,0
0024,1
0025,5
0026,5
0027,2
0028,2
0029,2
0030,1
0031,2
0032,3
0033,0
0034,2
0035,0
0036,1
0037,1
0038,4
0039,4
0040,2
0041,3
0042,5
0043,2
0044,5
0045,2
0046,2
0047,1
0048,2
0049,3
0050,5
0051,3
0052,3
0053,1
0054,5
0055,3
0056,5
0057,2
0058,3
0059,4
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,2
0077,6
0078,2
0079,7
0080,5
0081,8
0082,7
0083,8
0084,7
0085,10
0086,7
0087,10
0088,6
0089,12
0090,6
0091,14
0092,13
0093,15
0094,10
0095,14
0096,6
0097,6
0098,16
0099,20
0100,12
0101,16
0102,40
0103,17
0104,9
0105,17
0106,19
0107,26
0108,19
0109,18
0110,25
0111,21
0112,21
0113,19
0114,17
0115,19
0116,7
0117,14
0118,13
0119,13
0120,19
0121,18
0122,30
0123,31
0124,28
0125,20
0126,8
0127,23
0128,22
0129,25
0130,29
0131,22
0132,16
0133,41
0134,46
0135,39
0136,53
0137,35
0138,28
0139,26
0140,23
0141,30
0142,29
0143,50
0144,43
0145,44
0146,38
0147,49
0148,54
0149,58
0150,64
0151,72
0152,41
0153,34
0154,57
0155,53
0156,69
0157,57
0158,67
0159,65
0160,47
0161,79
0162,78
0163,76
0164,72
0165,88
0166,64
0167,76
0168,114
0169,95
0170,110
0171,108
0172,81
0173,118
0174,95
0175,123
0176,108
0177,99
0178,114
0179,106
0180,110
0181,98

#  
# Start date: 20201123
# End date: 20210523
Cohort,Day 1,Day 7,Day 30
0,0,0,0
1,0,0,0
2,0,0.047619047619047616,0
3,0,0,0
4,0,0,0
5,0.3333333333333333,0,0
6,0.25,0,0
7,0,0,0
8,0.04,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0.1111111111111111,0,0
21,0.07142857142857142,0,0
22,0,0,0
23,0,0,0
24,0.14285714285714285,0,0
25,0.3,0,0
26,0,0,0.09090909090909091
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.16666666666666666,0,0
32,0,0,0
33,0.14285714285714285,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0.09090909090909091,0,0
44,0.07142857142857142,0,0
45,0,0,0
46,0.1,0,0
47,0,0,0
48,0.09090909090909091,0,0
49,0.14285714285714285,0,0
50,0.2857142857142857,0,0
51,0,0,0
52,0,0,0
53,0.09090909090909091,0,0
54,0.2,0,0
55,0.07142857142857142,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0.09090909090909091,0,0
77,0.14285714285714285,0.047619047619047616,0.09523809523809523
78,0.041666666666666664,0,0
79,0.034482758620689655,0,0
80,0.08333333333333333,0,0
81,0.038461538461538464,0,0
82,0,0,0
83,0.03333333333333333,0.03333333333333333,0
84,0,0,0
85,0.10256410256410256,0,0
86,0.05,0,0
87,0.06060606060606061,0,0
88,0.06451612903225806,0.03225806451612903,0
89,0.020833333333333332,0,0
90,0.02857142857142857,0,0
91,0.0784313725490196,0.0392156862745098,0
92,0.0851063829787234,0,0
93,0.023809523809523808,0.023809523809523808,0
94,0.058823529411764705,0,0.029411764705882353
95,0,0.02,0
96,0,0,0
97,0.047619047619047616,0,0.023809523809523808
98,0.04878048780487805,0.024390243902439025,0
99,0.08333333333333333,0,0
100,0.09433962264150944,0.018867924528301886,0
101,0.029411764705882353,0,0
102,0.0472972972972973,0,0.006756756756756757
103,0.0392156862745098,0,0
104,0.07692307692307693,0,0
105,0.08,0,0
106,0.05405405405405406,0.013513513513513514,0.013513513513513514
107,0.03296703296703297,0.01098901098901099,0.01098901098901099
108,0.09411764705882353,0.011764705882352941,0
109,0.03896103896103896,0,0
110,0.07894736842105263,0,0
111,0.12698412698412698,0,0.015873015873015872
112,0.03571428571428571,0,0
113,0.04938271604938271,0.012345679012345678,0.012345679012345678
114,0.05172413793103448,0,0
115,0.012658227848101266,0.012658227848101266,0
116,0.04878048780487805,0,0
117,0.06382978723404255,0,0
118,0.09302325581395349,0,0.023255813953488372
119,0.057692307692307696,0,0.019230769230769232
120,0.11842105263157894,0,0
121,0.046511627906976744,0,0
122,0.12903225806451613,0,0
123,0.08,0.04,0
124,0.05333333333333334,0,0
125,0.05454545454545454,0,0
126,0.11904761904761904,0,0
127,0.07936507936507936,0.015873015873015872,0
128,0.08433734939759036,0,0
129,0.10126582278481013,0,0
130,0.038461538461538464,0,0
131,0.03529411764705882,0,0
132,0.0958904109589041,0,0
133,0.059602649006622516,0,0
134,0.06153846153846154,0,0
135,0.04895104895104895,0.027972027972027972,0.006993006993006993
136,0.0625,0.00625,0
137,0.045871559633027525,0.009174311926605505,0.009174311926605505
138,0.04040404040404041,0,0.010101010101010102
139,0.044642857142857144,0.008928571428571428,0
140,0.034782608695652174,0.017391304347826087,0
141,0.030612244897959183,0.01020408163265306,0.01020408163265306
142,0.05263157894736842,0,0
143,0.05583756345177665,0.01015228426395939,0.01015228426395939
144,0.04316546762589928,0.014388489208633094,0
145,0.046242774566473986,0.011560693641618497,0
146,0.08396946564885496,0.015267175572519083,0
147,0.07801418439716312,0,0.0070921985815602835
148,0.058823529411764705,0,0.007352941176470588
149,0.05238095238095238,0.004761904761904762,0.004761904761904762
150,0.06017191977077364,0.011461318051575931,0.0057306590257879654
151,0.045112781954887216,0,0
152,0.02040816326530612,0.01020408163265306,0
153,0.030864197530864196,0.030864197530864196,0
154,0.0611353711790393,0.013100436681222707,0
155,0.05660377358490566,0.006289308176100629,0
156,0.06077348066298342,0.016574585635359115,0
157,0.09803921568627451,0.013071895424836602,0
158,0.06,0.02,0
159,0.04519774011299435,0.01694915254237288,0
160,0.09433962264150944,0.018867924528301886,0
161,0.10344827586206896,0.005747126436781609,0
162,0.06132075471698113,0.014150943396226415,0
163,0.09871244635193133,0.017167381974248927,0
164,0.04739336492890995,0.014218009478672985,0
165,0.0625,0.004166666666666667,0
166,0.0779816513761468,0.01834862385321101,0
167,0.06374501992031872,0.01195219123505976,0
168,0.04318936877076412,0.016611295681063124,0
169,0.07377049180327869,0.01639344262295082,0
170,0.0572289156626506,0.012048192771084338,0
171,0.034482758620689655,0.021220159151193633,0
172,0.0657439446366782,0.0034602076124567475,0
173,0.0529595015576324,0.006230529595015576,0
174,0.07307692307692308,0.011538461538461539,0
175,0.06842105263157895,0.005263157894736842,0
176,0.08333333333333333,0,0
177,0.08273381294964029,0,0
178,0.0627177700348432,0,0
179,0.09448818897637795,0,0
180,0.06349206349206349,0,0
181,0.04059040590405904,0,0

#  
# Start date: 20201123
# End date: 20210523
Cohort,Day 1,Day 7,Day 30
0,0,0,0
1,0,0,0
2,0,3,0
3,0,0,0
4,0,0,0
5,5,0,0
6,48,0,0
7,0,0,0
8,27,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,197,0,0
22,0,0,0
23,0,0,0
24,597,0,0
25,392,0,0
26,0,0,63
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,3,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,74,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,1,0,0
50,5,0,0
51,0,0,0
52,0,0,0
53,3,0,0
54,11,0,0
55,20,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,5,0,0
77,11.333333333333334,0,24.5
78,2,0,0
79,859,0,0
80,92.5,0,0
81,2,0,0
82,0,0,0
83,5,525,0
84,0,0,0
85,12,0,0
86,11,0,0
87,0,0,0
88,99,63,0
89,0,0,0
90,0,0,0
91,19.5,158,0
92,65,0,0
93,18,97,0
94,1.5,0,18
95,0,68,0
96,0,0,0
97,68.5,0,77
98,60,31,0
99,7,0,0
100,32.4,101,0
101,13,0,0
102,0.14285714285714285,0,42
103,10,0,0
104,161,0,0
105,59.25,0,0
106,96.25,205,52
107,29,57,118
108,82.375,314,0
109,59.333333333333336,0,0
110,22.11111111111111,0,0
111,135.625,0,0
112,33.5,0,0
113,81.75,7,15
114,54,0,0
115,0,10,0
116,18,0,0
117,78,0,0
118,62.5,0,129
119,147,0,0
120,42.666666666666664,0,0
121,11.5,0,0
122,142.75,0,0
123,38.833333333333336,150,0
124,208.25,0,0
125,55.666666666666664,0,0
126,14,0,0
127,67.8,42,0
128,119.85714285714286,0,0
129,54.25,0,0
130,29,0,0
131,98.66666666666667,0,0
132,86.28571428571429,0,0
133,225.66666666666666,0,0
134,28,0,0
135,71.85714285714286,208.25,135
136,87.7,136,0
137,108.8,1729,135
138,16.75,0,39
139,13.4,16,0
140,239.5,35.5,0
141,80.66666666666667,42,10
142,104.4,0,0
143,22.09090909090909,34.5,17
144,64.33333333333333,11,0
145,26.625,862,0
146,164.54545454545453,1.5,0
147,50.63636363636363,0,30
148,43.125,0,655
