# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20200523
# End date: 20210523
Platform,Users
"[""Web""]",14094

#  


#  
# Start date: 20200523
# End date: 20210523
Operating system,Users
Windows,10369
Android,2467
Macintosh,514
Linux,434
iOS,221
Chrome OS,7

#  
# Start date: 20200523
# End date: 20210523
Platform / device category,Users
web / desktop,11247
web / mobile,2643
web / tablet,45

#  
# Start date: 20200523
# End date: 20210523
Browser,Users
Chrome,12757
Firefox,482
Safari,332
Edge,316
Opera,85
Android Webview,43
Samsung Internet,38
Android Browser,25
YaBrowser,16
Coc Coc,3
UC Browser,3
Internet Explorer,1

#  
# Start date: 20200523
# End date: 20210523
Device category,Users
desktop,11247
mobile,2643
tablet,45

#  
# Start date: 20200523
# End date: 20210523
Screen resolution,Users
1536x864,4102
1366x768,4053
1280x720,1192
1920x1080,650
1440x900,379
393x851,276
360x640,245
360x800,245
360x780,238
412x892,227
1600x900,202
360x760,179
360x720,141
393x873,124
412x915,110
1280x800,102
393x786,96
1360x768,92
414x896,79
1024x768,72
1280x1024,64
384x854,64
800x600,57
412x846,55
412x869,48
1680x1050,43
375x812,37
360x772,35
375x667,34
393x830,33
424x942,31
1792x1120,30
412x732,29
360x740,26
1093x615,25
393x817,24
424x918,24
414x736,22
424x848,22
384x832,17
768x1024,15
2560x1440,13
320x568,13
1024x1366,11
1920x1200,11
1098x618,10
2560x1080,10
424x753,10
491x1064,10
846x412,10
1504x1003,9
1707x960,9
412x823,9
1152x864,8
393x876,7
455x1011,7
640x360,7
1220x686,6
1229x692,6
1280x768,6
424x895,6
1138x712,5
1313x739,5
1372x772,5
1676x943,5
2048x1152,5
385x833,5
385x854,5
455x960,5
712x1138,5
869x412,5
1265x712,4
1344x840,4
1397x786,4
1440x810,4
1492x839,4
320x570,4
360x749,4
455x986,4
800x360,4
851x393,4
1024x576,3
1139x640,3
1231x693,3
1255x706,3
1280x960,3
1336x752,3
1368x912,3
1423x800,3
1463x823,3
1475x830,3
1536x865,3
320x640,3
375x833,3
384x640,3
396x858,3
450x950,3
5120x1440,3
1024x1024,2
1024x640,2
1080x1920,2
1085x611,2
1137x640,2
1173x660,2
1182x665,2
1186x667,2
1188x668,2
1231x692,2
1242x699,2
1243x700,2
1270x715,2
1289x725,2
1302x733,2
1314x739,2
1353x761,2
1360x765,2
1410x793,2
1436x808,2
1450x816,2
1477x831,2
1500x1000,2
1536x960,2
1730x973,2
1760x990,2
320x569,2
320x694,2
320x712,2
3440x1440,2
360x840,2
384x845,2
385x811,2
390x844,2
393x699,2
400x570,2
412x856,2
412x938,2
414x920,2
428x926,2
450x900,2
480x854,2
491x1091,2
800x1280,2
810x1080,2
892x412,2
1012x569,1
1051x591,1
1058x596,1
1076x606,1
1080x720,1
1088x615,1
1102x620,1
1106x622,1
1120x630,1
1129x635,1
1130x636,1
1155x650,1
1168x657,1
1175x661,1
1199x674,1
1201x676,1
1208x680,1
1216x811,1
1239x697,1
1249x703,1
1277x718,1
1280x820,1
1289x726,1
1299x730,1
1301x732,1
1325x745,1
1348x758,1
1358x830,1
1359x772,1
1364x767,1
1364x885,1
1365x875,1
1366x616,1
1372x776,1
1373x987,1
1376x774,1
1384x779,1
1388x768,1
1393x783,1
1400x1050,1
1402x789,1
1406x811,1
1423x885,1
1431x789,1
1440x960,1
1442x811,1
1443x945,1
1448x893,1
1476x830,1
1497x842,1
1506x848,1
1517x853,1
1524x858,1
1536x784,1
1537x864,1
1540x650,1
1554x877,1
1600x1000,1
1600x901,1
1603x902,1
1670x940,1
1679x870,1
1685x948,1
1696x954,1
1707x1067,1
1720x1440,1
1739x979,1
1837x902,1
1920x975,1
1970x1108,1
2000x2000,1
2134x1200,1
2144x1206,1
2195x1235,1
2328x1310,1
280x653,1
320x480,1
343x610,1
343x686,1
347x733,1
360x750,1
360x770,1
360x771,1
360x820,1
375x813,1
376x752,1
376x794,1
3840x1080,1
3840x1600,1
384x812,1
384x830,1
385x845,1
391x846,1
393x797,1
393x808,1
393x824,1
396x792,1
400x667,1
408x839,1
411x731,1
412x839,1
412x861,1
412x872,1
412x883,1
421x3161,1
421x888,1
421x911,1
424x881,1
432x960,1
450x800,1
461x820,1
463x1002,1
463x925,1
486x1052,1
491x982,1
534x854,1
534x911,1
703x1561,1
720x360,1
780x360,1
792x396,1
8000x20000,1
801x451,1
820x615,1
834x1112,1
873x393,1
937x527,1
960x600,1
991x620,1

#  
# Start date: 20200523
# End date: 20210523
Day


#  
# Start date: 20200523
# End date: 20210523
App,Version,Status


#  
# Start date: 20210523
# End date: 20210523
App,Crash-free users
2154840500,1

#  
# Start date: 20200523
# End date: 20210523
Device model,Users
Chrome,9629
Safari,514
Firefox,462
Edge,314
iPhone,196
Redmi Note 7 Pro,82
Redmi Note 5 Pro,80
Opera,76
Redmi Note 8 Pro,52
M2003J15SC,47
AC2001,45
Redmi Note 8,37
SM-M315F,33
A6000,32
Redmi Note 4,31
Redmi Note 9 Pro Max,31
Redmi Note 9 Pro,30
GM1901,29
RMX2151,29
Redmi Y2,29
HD1901,27
POCO F1,27
Redmi Note 7S,26
SM-M215F,26
6010,25
RMX2001,25
Redmi Note 6 Pro,25
SM-N900T,25
iPad,25
RMX1851,24
Redmi Note 5,23
SM-A505F,23
POCO M2 Pro,21
RMX1971,21
1714,19
1951,19
SM-M307F,19
KB2001,18
POCO X2,17
SM-M317F,17
SM-M515F,17
RMX1801,16
RMX2170,16
SM-A305F,16
SM-J600G,16
Mi A3,15
Redmi 5A,15
RMX1921,14
RMX1992,14
SM-J810G,14
SM-M305F,14
SM-A217F,13
SM-G610F,13
SM-G965F,13
X00TD,13
1901,12
CPH1809,12
CPH1859,12
GM1911,12
IN2011,12
Mi A2,12
RMX1805,12
RMX1825,12
RMX2193,12
SM-N970F,12
1904,11
CPH1803,11
CPH1909,11
M2004J19C,11
M2004J19PI,11
RMX2030,11
Redmi 6 Pro,11
Redmi 8,11
SM-A515F,11
SM-G930F,11
1820,10
1907,10
CPH2001,10
LLD-AL10,10
M2007J20CI,10
Mi A1,10
Pixel 3 XL,10
Redmi Note 7,10
SM-T835,10
1724,9
CPH2095,9
CPH2127,9
Firefox for Android,9
RMX1911,9
RMX2161,9
Redmi K20 Pro,9
SM-M115F,9
1726,8
CPH1969,8
CPH1989,8
J701F,8
Moto G (5S) Plus,8
RMX2002,8
Redmi 6,8
Redmi 7,8
SM-A205F,8
SM-M205F,8
V2029,8
1803,7
1920,7
ChromeBook,7
LLD-AL20,7
M2010J19SI,7
Moto E (4) Plus,7
One Fusion+,7
RMX1925,7
RMX2061,7
SM-A315F,7
SM-A507FN,7
SM-G615F,7
1811,6
1814,6
1917,6
AUM-AL20,6
CPH1911,6
CPH1937,6
RMX1941,6
Redmi 4,6
Redmi 5,6
Redmi 6A,6
SM-F415F,6
1601,5
1819,5
1902,5
1906,5
1935,5
A5010,5
BND-AL10,5
CPH1823,5
CPH2119,5
RMX2027,5
Redmi Y3,5
SM-A307FN,5
SM-J200G,5
X01AD,5
1723,4
1804,4
1807,4
1919,4
1933,4
6.1,4
6.1 Plus,4
6i,4
A37fw,4
A5000,4
A57,4
COR-AL00,4
CPH1729,4
CPH1938,4
IN2021,4
LM-G850,4
RMX1827,4
RMX1901,4
RMX1931,4
RMX2103,4
RMX2185,4
Redmi 4A,4
Redmi Y1,4
SM-A715F,4
SM-J610F,4
SM-J720F,4
SM-N975F,4
1801,3
1815,3
1818,3
1938,3
7 Plus,3
BKK-AL10,3
CPH1609,3
CPH1725,3
CPH1801,3
CPH2015,3
HRY-AL00,3
K8 Note,3
K8 Plus,3
LND-AL30,3
M2006C3LII,3
M2006C3MII,3
M2007J17I,3
M2007J3SP,3
Moto G (5) Plus,3
Nexus 4,3
Nexus 5,3
Redmi 3S,3
Redmi 8A,3
Redmi 8A Dual,3
SM-A207F,3
SM-A260G,3
SM-A605G,3
SM-A705GM,3
SM-A730F,3
SM-G570F,3
SM-G973F,3
SM-J400F,3
SM-J700F,3
SM-M105F,3
V2022,3
V2025,3
V2027,3
V2030,3
V2036,3
Vivo 2018,3
X650C,3
XT1925,3
1609,2
1610,2
1716,2
1718,2
1727,2
1802,2
1806,2
1851,2
1909,2
1921,2
5.1 Plus,2
A3003,2
A37f,2
CPH1723,2
CPH1819,2
CPH1881,2
CPH1893,2
CPH1933,2
CPH1945,2
CPH2083,2
G,2
HD1911,2
HRY-AL00Ta,2
I1927,2
JSN-L42,2
LG-M700,2
M2006C3LI,2
M2010J19CI,2
M2101K6I,2
M2101K7AI,2
M405F,2
MAX,2
Moto E6s,2
Moto G (4),2
Moto G5,2
One Power,2
Pixel 2,2
