# All Users
# Start date: 20201123
# End date: 20210523

Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
India,12562,12398,14165,0.78528661714159,1.1276070689380673,86.57124661678077,126953,0,10000
United States,396,384,294,0.6242038216560509,0.7424242424242424,43.23989898989899,2554,0,9000
Egypt,81,81,84,0.6829268292682927,1.037037037037037,54.23456790123457,520,0,1000
Unknown,77,71,45,0.5555555555555556,0.5844155844155844,31.051948051948052,521,0,900
Kazakhstan,75,74,65,0.6914893617021277,0.8666666666666667,43.626666666666665,442,0,100
Pakistan,75,76,78,0.7722772277227723,1.04,114.01333333333334,503,0,25
Russia,60,60,20,0.28169014084507044,0.3333333333333333,23.566666666666666,370,0,850
Vietnam,60,60,76,0.7238095238095238,1.2666666666666666,96.88333333333334,711,0,50
Bangladesh,56,55,57,0.8142857142857143,1.0178571428571428,63.982142857142854,323,0,20
Indonesia,44,43,43,0.7166666666666667,0.9772727272727273,77.8409090909091,384,0,78
Turkey,44,44,40,0.6779661016949152,0.9090909090909091,45,312,0,100
Canada,37,36,37,0.6727272727272727,1,58.432432432432435,286,0,150
Brazil,36,36,45,0.7258064516129032,1.25,88.52777777777777,292,0,90
Sri Lanka,34,34,33,0.7333333333333333,0.9705882352941176,93.97058823529412,387,0,30
United Kingdom,28,27,20,0.6060606060606061,0.7142857142857143,39.857142857142854,152,0,500
Germany,26,26,13,0.5,0.5,41.88461538461539,133,0,560
Singapore,21,19,21,0.4375,1,46.57142857142857,224,0,200
South Africa,21,21,31,0.6458333333333334,1.4761904761904763,274.1904761904762,394,0,100
Colombia,19,19,17,0.6071428571428571,0.8947368421052632,57.526315789473685,175,0,50
Taiwan,19,19,24,0.6666666666666666,1.263157894736842,153.57894736842104,304,0,10
United Arab Emirates,19,19,20,0.6896551724137931,1.0526315789473684,83.36842105263158,144,0,500
South Korea,18,18,15,0.6521739130434783,0.8333333333333334,45,165,0,50
Mexico,17,17,17,0.6296296296296297,1,77.94117647058823,110,0,40
China,16,16,15,0.9375,0.9375,22.125,89,0,100
Netherlands,15,10,13,0.8666666666666667,0.8666666666666667,87.6,279,0,50
Ukraine,14,14,14,0.6666666666666666,1,79.64285714285714,290,0,50
Gambia,13,13,17,0.8947368421052632,1.3076923076923077,156.69230769230768,96,0,10
Nigeria,13,13,10,0.6666666666666666,0.7692307692307693,77.15384615384616,110,0,10
Romania,13,12,11,0.6875,0.8461538461538461,38.46153846153846,62,0,20
France,12,10,10,0.6666666666666666,0.8333333333333334,25.666666666666668,68,0,50
Australia,11,10,11,0.6875,1,38.81818181818182,109,0,25
Spain,11,11,7,0.4375,0.6363636363636364,26.545454545454547,62,0,25
Philippines,10,10,9,0.6923076923076923,0.9,128.6,57,0,10
Israel,9,9,7,0.6363636363636364,0.7777777777777778,32.55555555555556,66,0,25
Nepal,9,9,8,0.7272727272727273,0.8888888888888888,104.66666666666667,53,0,5
Lebanon,8,8,10,0.7142857142857143,1.25,133.25,152,0,5
Saudi Arabia,8,8,8,0.8888888888888888,1,46.5,40,0,25
Thailand,8,8,9,0.75,1.125,48.5,71,0,10
Japan,7,7,5,0.5,0.7142857142857143,9.571428571428571,37,0,25
Oman,7,7,5,0.5555555555555556,0.7142857142857143,59.285714285714285,38,0,5
Poland,7,7,8,0.8888888888888888,1.1428571428571428,79.14285714285714,56,0,10
Uzbekistan,7,7,6,0.8571428571428571,0.8571428571428571,27,34,0,5
Algeria,6,5,4,0.5714285714285714,0.6666666666666666,13.833333333333334,34,0,5
