Day,New users
0000,2
0001,4
0002,21
0003,0
0004,11
0005,3
0006,4
0007,7
0008,25
0009,5
0010,2
0011,0
0012,3
0013,4
0014,4
0015,4
0016,8
0017,12
0018,4
0019,5
0020,9
0021,14
0022,5
0023,2
0024,7
0025,10
0026,11
0027,6
0028,6
0029,6
0030,4
0031,6
0032,8
0033,7
0034,3
0035,5
0036,4
0037,10
0038,13
0039,13
0040,9
0041,12
0042,13
0043,11
0044,14
0045,17
0046,20
0047,11
0048,11
0049,7
0050,7
0051,6
0052,11
0053,11
0054,15
0055,14
0056,22
0057,16
0058,19
0059,17
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,11
0077,21
0078,24
0079,29
0080,24
0081,26
0082,33
0083,30
0084,29
0085,39
0086,20
0087,33
0088,31
0089,48
0090,35
0091,51
0092,47
0093,42
0094,34
0095,100
0096,28
0097,42
0098,41
0099,60
0100,53
0101,68
0102,148
0103,51
0104,39
0105,50
0106,74
0107,91
0108,85
0109,77
0110,114
0111,63
0112,56
0113,81
0114,58
0115,79
0116,41
0117,47
0118,43
0119,52
0120,76
0121,86
0122,93
0123,75
0124,75
0125,55
0126,41
0127,64
0128,83
0129,79
0130,78
0131,85
0132,73
0133,151
0134,130
0135,143
0136,161
0137,109
0138,99
0139,112
0140,115
0141,98
0142,95
0143,197
0144,139
0145,173
0146,131
0147,141
0148,136
0149,210
0150,350
0151,266
0152,196
0153,162
0154,230
0155,159
0156,182
0157,153
0158,150
0159,177
0160,159
0161,175
0162,212
0163,233
0164,211
0165,241
0166,218
0167,251
0168,301
0169,245
0170,332
0171,377
0172,289
0173,321
0174,260
0175,380
0176,300
0177,278
0178,288
0179,254
0180,252
0181,271
