,Day,New users,Returning users
0,2020-11-23,2,5
1,2020-11-24,4,4
2,2020-11-25,21,9
3,2020-11-26,0,3
4,2020-11-27,11,5
5,2020-11-28,3,4
6,2020-11-29,4,5
7,2020-11-30,7,3
8,2020-12-01,25,6
9,2020-12-02,5,5
10,2020-12-03,2,2
11,2020-12-04,0,3
12,2020-12-05,3,2
13,2020-12-06,4,2
14,2020-12-07,4,2
15,2020-12-08,4,1
16,2020-12-09,8,3
17,2020-12-10,12,4
18,2020-12-11,4,1
19,2020-12-12,5,2
20,2020-12-13,9,0
21,2020-12-14,14,3
22,2020-12-15,5,3
23,2020-12-16,2,0
24,2020-12-17,7,1
25,2020-12-18,10,5
26,2020-12-19,11,5
27,2020-12-20,6,2
28,2020-12-21,6,2
29,2020-12-22,6,2
30,2020-12-23,4,1
31,2020-12-24,6,2
32,2020-12-25,8,3
33,2020-12-26,7,0
34,2020-12-27,3,2
35,2020-12-28,5,0
36,2020-12-29,4,1
37,2020-12-30,10,1
38,2020-12-31,13,4
39,2021-01-01,13,4
40,2021-01-02,9,2
41,2021-01-03,12,3
42,2021-01-04,13,5
43,2021-01-05,11,2
44,2021-01-06,14,5
45,2021-01-07,17,2
46,2021-01-08,20,2
47,2021-01-09,11,1
48,2021-01-10,11,2
49,2021-01-11,7,3
50,2021-01-12,7,5
51,2021-01-13,6,3
52,2021-01-14,11,3
53,2021-01-15,11,1
54,2021-01-16,15,5
55,2021-01-17,14,3
56,2021-01-18,22,5
57,2021-01-19,16,2
58,2021-01-20,19,3
59,2021-01-21,17,4
60,2021-01-22,0,0
61,2021-01-23,0,0
62,2021-01-24,0,0
63,2021-01-25,0,0
64,2021-01-26,0,0
65,2021-01-27,0,0
66,2021-01-28,0,0
67,2021-01-29,0,0
68,2021-01-30,0,0
69,2021-01-31,0,0
70,2021-02-01,0,0
71,2021-02-02,0,0
72,2021-02-03,0,0
73,2021-02-04,0,0
74,2021-02-05,0,0
75,2021-02-06,0,0
76,2021-02-07,11,2
77,2021-02-08,21,6
78,2021-02-09,24,2
79,2021-02-10,29,7
80,2021-02-11,24,5
81,2021-02-12,26,8
82,2021-02-13,33,7
83,2021-02-14,30,8
84,2021-02-15,29,7
85,2021-02-16,39,10
86,2021-02-17,20,7
87,2021-02-18,33,10
88,2021-02-19,31,6
89,2021-02-20,48,12
90,2021-02-21,35,6
91,2021-02-22,51,14
92,2021-02-23,47,13
93,2021-02-24,42,15
94,2021-02-25,34,10
95,2021-02-26,100,14
96,2021-02-27,28,6
97,2021-02-28,42,6
98,2021-03-01,41,16
99,2021-03-02,60,20
100,2021-03-03,53,12
101,2021-03-04,68,16
102,2021-03-05,148,40
103,2021-03-06,51,17
104,2021-03-07,39,9
105,2021-03-08,50,17
106,2021-03-09,74,19
107,2021-03-10,91,26
108,2021-03-11,85,19
109,2021-03-12,77,18
110,2021-03-13,114,25
111,2021-03-14,63,21
112,2021-03-15,56,21
113,2021-03-16,81,19
114,2021-03-17,58,17
115,2021-03-18,79,19
116,2021-03-19,41,7
117,2021-03-20,47,14
118,2021-03-21,43,13
119,2021-03-22,52,13
120,2021-03-23,76,19
121,2021-03-24,86,18
122,2021-03-25,93,30
123,2021-03-26,75,31
124,2021-03-27,75,28
125,2021-03-28,55,20
126,2021-03-29,41,8
127,2021-03-30,64,23
128,2021-03-31,83,22
129,2021-04-01,79,25
130,2021-04-02,78,29
131,2021-04-03,85,22
132,2021-04-04,73,16
133,2021-04-05,151,41
134,2021-04-06,130,46
135,2021-04-07,143,39
136,2021-04-08,161,53
137,2021-04-09,109,35
138,2021-04-10,99,28
139,2021-04-11,112,26
140,2021-04-12,115,23
141,2021-04-13,98,30
142,2021-04-14,95,29
143,2021-04-15,197,50
144,2021-04-16,139,43
145,2021-04-17,173,44
146,2021-04-18,131,38
147,2021-04-19,141,49
148,2021-04-20,136,54
149,2021-04-21,210,58
150,2021-04-22,350,64
151,2021-04-23,266,72
152,2021-04-24,196,41
153,2021-04-25,162,34
154,2021-04-26,230,57
155,2021-04-27,159,53
156,2021-04-28,182,69
157,2021-04-29,153,57
158,2021-04-30,150,67
159,2021-05-01,177,65
160,2021-05-02,159,47
161,2021-05-03,175,79
162,2021-05-04,212,78
163,2021-05-05,233,76
164,2021-05-06,211,72
165,2021-05-07,241,88
166,2021-05-08,218,64
167,2021-05-09,251,76
168,2021-05-10,301,114
169,2021-05-11,245,95
170,2021-05-12,332,110
171,2021-05-13,377,108
172,2021-05-14,289,81
173,2021-05-15,321,118
174,2021-05-16,260,95
175,2021-05-17,380,123
176,2021-05-18,300,108
177,2021-05-19,278,99
178,2021-05-20,288,114
179,2021-05-21,254,106
180,2021-05-22,252,110
181,2021-05-23,271,98
