# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20200522
# End date: 20210522
Day,Users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,4
0173,6
0174,7
0175,8
0176,8
0177,9
0178,6
0179,4
0180,8
0181,5
0182,9
0183,8
0184,12
0185,6
0186,9
0187,28
0188,3
0189,16
0190,7
0191,7
0192,10
0193,29
0194,11
0195,4
0196,3
0197,5
0198,6
0199,5
0200,5
0201,10
0202,14
0203,5
0204,7
0205,10
0206,16
0207,7
0208,2
0209,8
0210,14
0211,15
0212,8
0213,8
0214,7
0215,5
0216,8
0217,11
0218,7
0219,6
0220,5
0221,5
0222,11
0223,14
0224,15
0225,11
0226,14
0227,17
0228,12
0229,18
0230,18
0231,22
0232,15
0233,12
0234,10
0235,11
0236,9
0237,14
0238,12
0239,17
0240,18
0241,25
0242,17
0243,21
0244,17
0245,0
0246,0
0247,0
0248,0
0249,0
0250,0
0251,0
0252,0
0253,0
0254,0
0255,0
0256,0
0257,0
0258,0
0259,0
0260,0
0261,11
0262,26
0263,28
0264,34
0265,26
0266,31
0267,35
0268,34
0269,33
0270,43
0271,27
0272,38
0273,35
0274,54
0275,42
0276,61
0277,58
0278,54
0279,41
0280,107
0281,32
0282,46
0283,55
0284,71
0285,65
0286,83
0287,167
0288,71
0289,52
0290,60
0291,89
0292,110
0293,99
0294,92
0295,123
0296,86
0297,76
0298,96
0299,68
0300,90
0301,46
0302,56
0303,54
0304,62
0305,88
0306,102
0307,107
0308,103
0309,97
0310,71
0311,50
0312,84
0313,97
0314,97
0315,102
0316,99
0317,88
0318,183
0319,161
0320,170
0321,189
0322,134
0323,119
0324,126
0325,129
0326,107
0327,114
0328,231
0329,173
0330,194
0331,158
0332,186
0333,171
0334,252
0335,382
0336,316
0337,234
0338,184
0339,264
0340,190
0341,221
0342,192
0343,206
0344,224
0345,193
0346,236
0347,264
0348,282
0349,274
0350,298
0351,269
0352,302
0353,391
0354,326
0355,402
0356,455
0357,348
0358,410
0359,328
0360,467
0361,383
0362,356
0363,370
0364,334
0365,340

# Start date: 20200522
# End date: 20210522
Day,New users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,4
0173,3
0174,4
0175,3
0176,2
0177,3
0178,1
0179,0
0180,3
0181,0
0182,4
0183,5
0184,9
0185,2
0186,4
0187,21
0188,0
0189,11
0190,3
0191,4
0192,7
0193,25
0194,5
0195,2
0196,0
0197,3
0198,4
0199,4
0200,4
0201,8
0202,12
0203,4
0204,5
0205,9
0206,14
0207,5
0208,2
0209,7
0210,10
0211,11
0212,6
0213,6
0214,6
0215,4
0216,6
0217,8
0218,7
0219,3
0220,5
0221,4
0222,10
0223,13
0224,13
0225,9
0226,12
0227,13
0228,11
0229,14
0230,17
0231,20
0232,11
0233,11
0234,7
0235,7
0236,6
0237,11
0238,11
0239,15
0240,14
0241,22
0242,16
0243,19
0244,17
0245,0
0246,0
0247,0
0248,0
0249,0
0250,0
0251,0
0252,0
0253,0
0254,0
0255,0
0256,0
0257,0
0258,0
0259,0
0260,0
0261,11
0262,21
0263,24
0264,29
0265,24
0266,26
0267,33
0268,30
0269,29
0270,39
0271,20
0272,33
0273,31
0274,48
0275,35
0276,51
0277,47
0278,42
0279,34
0280,100
0281,28
0282,42
0283,41
0284,60
0285,53
0286,68
0287,148
0288,51
0289,39
0290,50
0291,74
0292,91
0293,85
0294,77
0295,114
0296,63
0297,56
0298,81
0299,58
0300,79
0301,41
0302,47
0303,43
0304,52
0305,76
0306,86
0307,93
0308,75
0309,75
0310,55
0311,41
0312,64
0313,83
0314,79
0315,78
0316,85
0317,73
0318,151
0319,130
0320,143
0321,161
0322,109
0323,99
0324,112
0325,115
0326,98
0327,95
0328,197
0329,139
0330,173
0331,131
0332,141
0333,136
0334,210
0335,350
0336,266
0337,196
0338,162
0339,230
0340,159
0341,182
0342,153
0343,150
0344,177
0345,159
0346,175
0347,212
0348,233
0349,211
0350,241
0351,218
0352,251
0353,301
0354,245
0355,332
0356,377
0357,289
0358,321
0359,260
0360,380
0361,300
0362,278
0363,288
0364,254
0365,252

#  


#  
# Start date: 20200522
# End date: 20210522
User medium,New users
organic,11791
(none),1757
referral,186

#  
# Start date: 20200522
# End date: 20210522
Session medium,Sessions
organic,16751
(none),2484
referral,718

#  
# Start date: 20200522
# End date: 20210522
Session campaign,Sessions


#  
# Start date: 20210123
# End date: 20210522
Cohort,LTV
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
