# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20210517
# End date: 20210523
Day,Users
0000,467
0001,383
0002,356
0003,370
0004,334
0005,340
0006,343

# Start date: 20210517
# End date: 20210523
Day,New users
0000,380
0001,300
0002,278
0003,288
0004,254
0005,252
0006,271

# Start date: 20210517
# End date: 20210523
Day,Average engagement time
0000,56.44967880085653
0001,81.97650130548303
0002,73.62359550561797
0003,100.91081081081082
0004,105.0059880239521
0005,84.29705882352941
0006,77.25072886297376

# Start date: 20210517
# End date: 20210523
Day,Total revenue


#  


#  


# Where do your new users come from?
# Start date: 20210517
# End date: 20210523
User medium,New users
organic,1772
(none),199
referral,52

#  
# Start date: 20210517
# End date: 20210523
Session medium,Sessions
organic,2713
(none),302
referral,52

# Where are your users visiting from?
# Start date: 20210325
# End date: 20210523
Country ID,Users,Users (Previous)
(not set),23,54
AE,16,2
AF,1,0
AL,0,2
AM,6,0
AR,3,0
AT,1,0
AU,9,2
AZ,5,2
BD,41,14
BE,1,1
BG,3,1
BH,1,1
BO,1,1
BR,26,9
BY,2,0
CA,30,7
CH,0,2
CL,2,0
CN,2,14
CO,18,1
DE,18,6
DK,1,1
DO,1,0
DZ,3,2
EE,1,0
EG,71,6
ES,8,3
ET,4,0
FI,1,0
FR,12,0
GB,11,14
GM,13,0
GR,1,0
HK,3,1
HR,1,0
HU,1,2
ID,34,7
IE,4,0
IL,7,2
IN,9973,1927
IT,2,1
JO,3,0
JP,6,1
KE,4,1
KG,2,0
KH,1,0
KR,16,1
KW,0,1
KZ,67,7
LB,4,4
LK,22,9
LT,1,1
LV,0,1
MA,2,1
MD,2,0
MG,1,0
MK,1,0
MN,1,0
MT,1,0
MX,15,2
MY,3,1
NG,11,2
NL,14,0
NP,9,0
NZ,2,0
OM,6,1
PA,1,0
PE,3,1
PH,7,2
PK,61,12
PL,6,1
PR,1,0
PS,5,1
PT,2,0
QA,4,0
RO,10,3
RU,52,4
RW,1,0
SA,6,1
SD,1,0
SE,4,0
SG,20,2
SN,0,1
SY,0,1
TH,8,0
TM,1,0
TN,6,0
TR,39,4
TW,18,1
UA,6,3
UG,2,0
US,306,66
UZ,4,3
VE,1,0
VN,46,9
VU,1,0
YE,1,0
ZA,20,1
ZM,1,1

# Start date: 20210325
# End date: 20210523
Country,Users
India,9973
United States,306
Egypt,71
Kazakhstan,67
Pakistan,61
Russia,52
Bangladesh,41
Vietnam,46
Turkey,39
Indonesia,34
Canada,30
Brazil,26
Sri Lanka,22
United Kingdom,11
Germany,18
Singapore,20
South Africa,20
Colombia,18
Taiwan,18
United Arab Emirates,16
Mexico,15
South Korea,16
China,2
Netherlands,14
Gambia,13
Nigeria,11
Romania,10
France,12
Australia,9
Spain,8
Israel,7
Nepal,9
Philippines,7
Ukraine,6
Lebanon,4
Thailand,8
Azerbaijan,5
Japan,6
Oman,6
Poland,6
Saudi Arabia,6
Uzbekistan,4
Armenia,6
Palestine,5
Tunisia,6
Algeria,3
Kenya,4
Bulgaria,3
Ethiopia,4
Hong Kong,3
Ireland,4
Malaysia,3
Peru,3
Qatar,4
Sweden,4
Argentina,3
Hungary,1
Italy,2
Jordan,3
Morocco,2
Albania,0
Bahrain,1
Belarus,2
Belgium,1
Bolivia,1
Chile,2
Denmark,1
Kyrgyzstan,2
Lithuania,1
Moldova,2
New Zealand,2
Portugal,2
Switzerland,0
Uganda,2
Zambia,1
Afghanistan,1
Austria,1
Cambodia,1
Croatia,1
Dominican Republic,1
Estonia,1
Finland,1
Greece,1
Kuwait,0
Latvia,0
Madagascar,1
Malta,1
Mongolia,1
North Macedonia,1
Panama,1
Puerto Rico,1
Rwanda,1
Senegal,0
Sudan,1
Syria,0
Turkmenistan,1
Vanuatu,1
Venezuela,1
Yemen,1

# How are active users trending?
# Start date: 20210517
# End date: 20210523
Day,30 days,7 days,1 day
0000,7139,2458,467
0001,7312,2498,383
0002,7453,2451,356
0003,7586,2365,370
0004,7632,2345,334
0005,7587,2265,340
0006,7584,2277,343

# How well do you retain your users?
# Start date: 20210411
# End date: 20210522
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
Apr 11 - Apr 17,929,55,25,21,16,15
Apr 18 - Apr 24,1429,47,25,24,21,-1
Apr 25 - May 1,1211,71,43,29,-1,-1
May 2 - May 8,1447,110,33,-1,-1,-1
May 9 - May 15,2115,123,-1,-1,-1,-1
May 16 - May 22,2011,-1,-1,-1,-1,-1

#  
# Start date: 20210517
# End date: 20210523
Page title and screen class,Views
HackerRank Solutions,2348
Print Function - HackerRank Solutions,380
"""Hello World!"" in C - HackerRank Solutions",212
Array-DS - HackerRank Solutions,100
Write a function - HackerRank Solutions,123
Sum of Digits of a Five Digit Number - HackerRank Solutions,41
HackerRank Solutions - Online Code Compiler,34
Finding the Percentage - HackerRank Solutions,64
Solve Me First - HackerRank Solutions,122
Bitwise Operators - HackerRank Solutions,75
Compare the Triplets - HackerRank Solutions,65
Left Rotation - HackerRank Solutions,58
Loops - HackerRank Solutions,57
Print the Elements of a Linked List - HackerRank Solutions,48
Minimum Average Waiting Time - HackerRank Solutions,10
Printing Pattern Using Loops - HackerRank Solutions,31
Simple Array Sum - HackerRank Solutions,54
Balanced Brackets - HackerRank Solutions,49
Sparse Arrays - HackerRank Solutions,37
String Reduction - HackerRank Solutions,42
Greedy Florist - HackerRank Solutions,29
Java Datatypes - HackerRank Solutions,27
Dynamic Array in C - HackerRank Solutions,24
Java Strings Introduction - HackerRank Solutions,29
Permutations of Strings C - HackerRank Solutions,36
1D array in c - HackerRank Solutions,19
Reverse a linked list - HackerRank Solutions,9
Attribute Parser C++ - HackerRank Solutions,24
Diagonal Difference - HackerRank Solutions,36
Java Static Initializer Block - HackerRank Solutions,27
Java Substring - HackerRank Solutions,22
Short Palindrome - HackerRank Solutions,47
Waiter - HackerRank Solutions,42
Insert a node at a specific position in a linked list - HackerRank Solutions,21
Birthday Cake Candles - HackerRank Solutions,10
Java Int to String - HackerRank Solutions,26
Day of the Programmer - HackerRank Solutions,10
Java BigDecimal - HackerRank Solutions,1
Queue using Two Stacks - HackerRank Solutions,30
Picking Numbers - HackerRank Solutions,19
Tree: Postorder Traversal - HackerRank Solutions,24
Box Operations - HackerRank Solutions,37
Print in Reverse - HackerRank Solutions,14
Compare two linked lists - HackerRank Solutions,14
Inserting a Node Into a Sorted Doubly Linked List - HackerRank Solutions,14
Jenny's Subtrees - HackerRank Solutions,10
Truck Tour - HackerRank Solutions,19
Cats and a Mouse - HackerRank Solutions,12
Delete duplicate-value nodes from a sorted linked list - HackerRank Solutions,23
Migratory Birds - HackerRank Solutions,14
Kitty's Calculations on a Tree - HackerRank Solutions,19
Reverse a doubly linked list - HackerRank Solutions,14
Tree: Preorder Traversal - HackerRank Solutions,17
2D Array-DS - HackerRank Solutions,13
Java Interface - HackerRank Solutions,8
Arrays Introduction C++ - HackerRank Solutions,13
Collections.namedtuple() python - HackerRank Solutions,19
Merge two sorted linked lists - HackerRank Solutions,11
Delete a Node - HackerRank Solutions,21
Arithmetic Operators - HackerRank Solutions,17
Circular Array Rotation - HackerRank Solutions,16
For Loops in c - HackerRank Solutions,11
Iterables and Iterators python - HackerRank Solutions,17
Max Transform - HackerRank Solutions,28
"Mean, Var, and Std python - HackerRank Solutions",15
Set.difference() Operation - HackerRank Solutions,11
Input() python - HackerRank Solutions,18
Insert a Node at the head of a Linked List - HackerRank Solutions,13
Pointers in c - HackerRank Solutions,16
Subarray Division - HackerRank Solutions,17
Sum and Difference of Two Numbers - HackerRank Solutions,18
Playing with Characters - HackerRank Solutions,16
Plus Minus - HackerRank Solutions,12
A Very Big Sum - HackerRank Solutions,13
