# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
# 
# All Users
# Start date: 20200523
# End date: 20210523

User medium,New users
organic,12031
(none),1775
referral,199

# Start date: 20200523
# End date: 20210523
Day,organic,(none),referral
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,0,0,0
0051,0,0,0
0052,0,0,0
0053,0,0,0
0054,0,0,0
0055,0,0,0
0056,0,0,0
0057,0,0,0
0058,0,0,0
0059,0,0,0
0060,0,0,0
0061,0,0,0
0062,0,0,0
0063,0,0,0
0064,0,0,0
0065,0,0,0
0066,0,0,0
0067,0,0,0
0068,0,0,0
0069,0,0,0
0070,0,0,0
0071,0,0,0
0072,0,0,0
0073,0,0,0
0074,0,0,0
0075,0,0,0
0076,0,0,0
0077,0,0,0
0078,0,0,0
0079,0,0,0
0080,0,0,0
0081,0,0,0
0082,0,0,0
0083,0,0,0
0084,0,0,0
0085,0,0,0
0086,0,0,0
0087,0,0,0
0088,0,0,0
0089,0,0,0
0090,0,0,0
0091,0,0,0
0092,0,0,0
0093,0,0,0
0094,0,0,0
0095,0,0,0
0096,0,0,0
0097,0,0,0
0098,0,0,0
0099,0,0,0
0100,0,0,0
0101,0,0,0
0102,0,0,0
0103,0,0,0
0104,0,0,0
0105,0,0,0
0106,0,0,0
0107,0,0,0
0108,0,0,0
0109,0,0,0
0110,0,0,0
0111,0,0,0
0112,0,0,0
0113,0,0,0
0114,0,0,0
0115,0,0,0
0116,0,0,0
0117,0,0,0
0118,0,0,0
0119,0,0,0
0120,0,0,0
0121,0,0,0
0122,0,0,0
0123,0,0,0
0124,0,0,0
0125,0,0,0
0126,0,0,0
0127,0,0,0
0128,0,0,0
0129,0,0,0
0130,0,0,0
0131,0,0,0
0132,0,0,0
0133,0,0,0
0134,0,0,0
0135,0,0,0
0136,0,0,0
0137,0,0,0
0138,0,0,0
0139,0,0,0
0140,0,0,0
0141,0,0,0
0142,0,0,0
0143,0,0,0
0144,0,0,0
0145,0,0,0
0146,0,0,0
0147,0,0,0
0148,0,0,0
0149,0,0,0
0150,0,0,0
0151,0,0,0
0152,0,0,0
0153,0,0,0
0154,0,0,0
0155,0,0,0
0156,0,0,0
0157,0,0,0
0158,0,0,0
0159,0,0,0
0160,0,0,0
0161,0,0,0
0162,0,0,0
0163,0,0,0
0164,0,0,0
0165,0,0,0
0166,0,0,0
0167,0,0,0
0168,0,0,0
0169,0,0,0
0170,0,0,0
0171,0,1,3
0172,0,2,1
0173,0,3,1
0174,0,3,0
0175,2,0,0
0176,2,1,0
0177,1,0,0
0178,0,0,0
0179,1,2,0
0180,0,0,0
0181,2,2,0
0182,5,0,0
0183,5,1,3
0184,2,0,0
0185,4,0,0
0186,4,17,0
0187,0,0,0
0188,9,1,1
0189,1,2,0
0190,3,1,0
0191,5,2,0
0192,5,16,4
0193,3,2,0
0194,1,1,0
0195,0,0,0
0196,3,0,0
0197,3,1,0
0198,4,0,0
0199,3,1,0
0200,5,3,0
0201,11,1,0
0202,3,1,0
0203,5,0,0
0204,9,0,0
0205,11,3,0
0206,3,2,0
0207,2,0,0
0208,7,0,0
0209,7,2,1
0210,11,0,0
0211,5,1,0
0212,5,1,0
0213,5,1,0
0214,4,0,0
0215,6,0,0
0216,5,3,0
0217,7,0,0
0218,3,0,0
0219,3,2,0
0220,4,0,0
0221,9,0,1
0222,11,1,1
0223,12,1,0
0224,7,2,0
0225,9,3,0
0226,12,1,0
0227,9,1,1
0228,12,2,0
0229,17,0,0
0230,20,0,0
0231,9,1,1
0232,11,0,0
0233,5,2,0
0234,7,0,0
0235,6,0,0
0236,11,0,0
0237,11,0,0
0238,14,0,1
0239,13,1,0
0240,21,0,1
0241,15,1,0
0242,19,0,0
0243,7,9,1
0244,0,0,0
0245,0,0,0
0246,0,0,0
0247,0,0,0
0248,0,0,0
0249,0,0,0
0250,0,0,0
0251,0,0,0
0252,0,0,0
0253,0,0,0
0254,0,0,0
0255,0,0,0
0256,0,0,0
0257,0,0,0
0258,0,0,0
0259,0,0,0
0260,0,11,0
0261,10,9,2
0262,22,1,1
0263,27,2,0
0264,18,4,2
0265,25,1,0
0266,26,7,0
0267,24,5,1
0268,26,2,1
0269,37,2,0
0270,20,0,0
0271,22,10,1
0272,29,1,1
0273,40,5,3
0274,27,8,0
0275,40,9,2
0276,38,9,0
0277,35,4,3
0278,33,1,0
0279,43,57,0
0280,24,3,1
0281,37,5,0
0282,37,4,0
0283,53,7,0
0284,38,15,0
0285,54,14,0
0286,39,108,1
0287,41,10,0
0288,28,2,9
0289,47,2,1
0290,55,18,1
0291,53,37,1
0292,67,17,1
0293,66,11,0
0294,92,22,0
0295,53,10,0
0296,55,1,0
0297,73,7,1
0298,52,6,0
0299,71,7,1
0300,39,0,2
0301,43,4,0
0302,40,3,0
0303,49,2,1
